,Bank_Name,Bank_Type,Location,Bank_Caption,User_Name,Bank_Rating,Rating_Comment,User_Comment
0,HDFC Bank,Personal Loan, salem,"""Need a quick response """,PANDIYAN,4.0,Great,                              I was applied HDFC BANK personal loan through online. Bank executive came and collected the documents with in a week but further no update. I suggest bank to response the customer with any of the update on time. I tried to call bank executive but no response. The interest rate offered was around 10.5% which is nominal. 
1,SBI,Personal Loan, proddatur,"""Best service""",KUMAR,5.0,Blown,"                              I have taken a personal loan from SBI through bank executive and received the loan amount with in a week. Loan amount is 5 lakhs and 14% interest rate with 0.5% processing fee which is affordable. Bank executive response  is very good and helpful.  
"
2,HDFC Bank,Personal Loan, proddatur,"""Average service""",  PAVAN,4.0,Great,"                              I was applied HDFC BANK personal loan through online and I have not received any response from bank its almost been two months. The rate of interest is around 18% which is very high. So, I rejected my application. I have submitted some documents through online. 
"
3,Axis Bank,Personal Loan, pudukkottai,"""Need to improve customer services""",DEVASAHAYAM,1.0,Bad,"                              I have take a personal loan from AXIS BANK on few months back. If ECS deduction is missed on due date, I will pay through online the option provided from bank, also then the amount is been auto debited from my account. I have raised the query but still now no response from their end. The payment is not update on time and I will get continuous notification. I have taken a loan amount of 4L with tenure period of 5 years. "
4,HDFC Bank,Personal Loan, pudukkottai,"""Good service""",SELVIN ,5.0,Blown,"                              I have taken a top up personal loan from HDFC BANK. I had a  existing personal loan made of 8.16L. Its been almost 9 months completed. The EMI  of Rs.19,790  would be auto-debited on 6th of every month. Processing fee is normal and there is an options for both part payment and foreclosure. "
5,HDFC Bank,Personal Loan, pudukkottai,"""Good service""",MANOHAR,5.0,Blown,"                              I applied for HDFC BANK personal loan through online and agreed to provided up to 5.5L but at a certain point I dropped my plan so I was not need in a loan amount.  Hence, I denied to do the application process.I have not submitted any documents. Bank executive had a regular follow up on my application.  
"
6,HDFC Bank,Personal Loan, bangalore,"""Process should be little bit fast""",  A,4.0,Great,"                              I have applied a personal loan from HDFC BANK. I called them twice but they dint call me back, at that moment I was in need of money, later I had late reply so I request to cancel the process. Customer service and responsiveness was good.Process  should be little bit fast and also need to improve. "
7,Hero fincorp,Two Wheeler, dharmapuri,"""Instant loan approval""",SAKTHIVEL ,3.0,Satisfactory,"                              I have taken  two wheeler loan from hero fin corp. The loan amount was Rs. 60,000 and the rate of interest i am not sure. Emi i am paying monthly was Rs. 3000, at present i completed the loan.Documentation was simple executive collected. I purchased a super splender. Rate of interest was high need to decrease."
8,HDFC Bank,Credit Card, mysore,"""Good service""",PRASANNA  ,5.0,Blown,"                              I am using HDFC BANK platinum credit card for past one month. The credit limit is Rs.30,000. I use this card mostly for shopping. Since I am existing user in this bank, they have provided this credit card. I have submitted the documents to bank executive and received the card with in 15 to 20 days. Annual charges is Rs.500. "
9,HDFC Bank,Personal Loan, mysore,"""Good service""",JYOTHI,5.0,Blown,"                              I have applied HDFC BANK personal loan through online and I got the response from bank executive for my application. I am not in the need of money now, so I rejected  the application and I have not submitted any documents. Bank executive response is good. Rate of interest is high around 18% to 20% ."
